Fasciaeta,ID Film,Voto Massimo,Voto Minimo
Under 18,1,5,1
Under 18,2,5,1
Under 18,3,5,1
Under 18,4,5,1
Under 18,5,4,1
Under 18,6,5,1
Under 18,7,5,2
Under 18,8,5,1
Under 18,9,4,1
Under 18,10,5,2
Under 18,11,5,1
Under 18,12,4,1
Under 18,13,5,1
Under 18,14,5,1
Under 18,15,5,1
Under 18,16,5,1
Under 18,17,5,1
Under 18,18,5,1
Under 18,19,5,1
Under 18,20,4,1
Under 18,21,5,1
Under 18,22,5,1
Under 18,23,4,2
Under 18,24,5,1
Under 18,25,5,1
Under 18,26,4,2
Under 18,27,3,1
Under 18,28,5,1
Under 18,29,5,1
Under 18,30,5,2
Under 18,31,4,2
Under 18,32,5,1
Under 18,34,5,1
Under 18,35,5,1
Under 18,36,5,2
Under 18,37,3,1
Under 18,38,1,1
Under 18,39,5,1
Under 18,40,5,4
Under 18,41,5,2
Under 18,42,5,1
Under 18,43,5,1
Under 18,44,5,1
Under 18,45,5,1
Under 18,46,5,1
Under 18,47,5,1
Under 18,48,5,1
Under 18,49,5,2
Under 18,50,5,1
Under 18,52,5,1
Under 18,54,3,1
Under 18,55,5,2
Under 18,56,3,1
Under 18,57,5,1
Under 18,58,5,2
Under 18,59,4,1
Under 18,60,5,1
Under 18,61,3,3
Under 18,62,5,1
Under 18,63,5,1
Under 18,64,3,2
Under 18,65,3,1
Under 18,66,4,1
Under 18,67,4,2
Under 18,68,4,3
Under 18,69,5,1
Under 18,70,5,1
Under 18,71,5,1
Under 18,72,5,3
Under 18,73,5,1
Under 18,74,5,1
Under 18,76,5,1
Under 18,77,5,3
Under 18,78,4,2
Under 18,79,4,1
Under 18,80,5,2
Under 18,81,5,2
Under 18,82,5,1
Under 18,83,5,3
Under 18,84,4,2
Under 18,85,5,1
Under 18,86,5,2
Under 18,87,5,1
Under 18,88,4,1
Under 18,89,5,2
Under 18,92,5,1
Under 18,93,5,2
Under 18,94,5,2
Under 18,95,5,1
Under 18,96,3,3
Under 18,97,5,1
Under 18,99,4,4
Under 18,100,5,1
Under 18,101,5,2
Under 18,102,4,1
Under 18,103,5,3
Under 18,104,5,1
Under 18,105,5,1
Under 18,106,4,1
Under 18,107,5,1
Under 18,108,4,4
Under 18,110,5,1
Under 18,111,5,1
Under 18,112,5,1
Under 18,113,5,2
Under 18,114,2,2
Under 18,116,5,5
Under 18,117,5,3
Under 18,118,4,1
Under 18,119,5,3
Under 18,120,2,2
Under 18,121,5,3
Under 18,122,5,1
Under 18,123,5,2
Under 18,125,5,1
Under 18,126,4,1
Under 18,127,1,1
Under 18,128,5,5
Under 18,131,4,2
Under 18,132,5,1
Under 18,135,5,1
Under 18,136,5,4
Under 18,137,4,1
Under 18,140,5,1
Under 18,141,5,1
Under 18,144,5,1
Under 18,145,5,1
Under 18,146,5,2
Under 18,147,5,2
Under 18,148,5,2
Under 18,149,5,3
Under 18,150,5,1
Under 18,151,5,1
Under 18,152,5,2
Under 18,153,5,1
Under 18,154,5,2
Under 18,155,5,2
Under 18,156,5,2
Under 18,157,5,1
Under 18,158,5,1
Under 18,159,5,2
Under 18,160,5,1
Under 18,161,5,1
Under 18,162,5,2
Under 18,163,5,1
Under 18,164,5,1
Under 18,165,5,1
Under 18,166,5,1
Under 18,168,5,1
Under 18,169,3,1
Under 18,170,5,1
Under 18,171,5,2
Under 18,172,5,1
Under 18,173,5,1
Under 18,174,4,1
Under 18,175,5,1
Under 18,176,5,2
Under 18,177,5,1
Under 18,178,4,3
Under 18,179,5,1
Under 18,180,5,1
Under 18,181,4,1
Under 18,182,4,1
Under 18,183,5,3
Under 18,184,5,2
Under 18,185,5,1
Under 18,186,4,1
Under 18,187,5,2
