Gender,Fasciaeta,ID Film,Voto Medio
F,Under 18,1657,5.0000
F,Under 18,725,5.0000
F,Under 18,3612,5.0000
F,Under 18,3913,5.0000
F,Under 18,1743,5.0000
F,Under 18,3870,5.0000
F,Under 18,394,5.0000
F,Under 18,3872,5.0000
F,Under 18,2372,5.0000
F,Under 18,669,5.0000
M,Under 18,2503,5.0000
M,Under 18,1879,5.0000
M,Under 18,563,5.0000
M,Under 18,2293,5.0000
M,Under 18,1830,5.0000
M,Under 18,3800,5.0000
M,Under 18,1067,5.0000
M,Under 18,1871,5.0000
M,Under 18,2545,5.0000
M,Under 18,3232,5.0000
F,25-34,2911,5.0000
F,25-34,3318,5.0000
F,25-34,2924,5.0000
F,25-34,1725,5.0000
F,25-34,1879,5.0000
F,25-34,3816,5.0000
F,25-34,3311,5.0000
F,25-34,2661,5.0000
F,25-34,3567,5.0000
F,25-34,3587,5.0000
M,25-34,2776,5.0000
M,25-34,2963,5.0000
M,25-34,3003,5.0000
M,25-34,3232,5.0000
M,25-34,1652,5.0000
M,25-34,1743,5.0000
M,25-34,1664,5.0000
M,25-34,3656,5.0000
M,25-34,557,5.0000
M,25-34,925,5.0000
F,34-44,2493,5.0000
F,34-44,1940,5.0000
F,34-44,3416,5.0000
F,34-44,2304,5.0000
F,34-44,3881,5.0000
F,34-44,1511,5.0000
F,34-44,2905,5.0000
F,34-44,2810,5.0000
F,34-44,3838,5.0000
F,34-44,2924,5.0000
M,34-44,2156,5.0000
M,34-44,53,5.0000
M,34-44,1872,5.0000
M,34-44,3314,5.0000
M,34-44,2773,5.0000
M,34-44,1675,5.0000
M,34-44,2963,5.0000
M,34-44,2211,5.0000
M,34-44,3338,5.0000
M,34-44,3652,5.0000
F,over 55,1423,5.0000
F,over 55,3049,5.0000
F,over 55,209,5.0000
F,over 55,3569,5.0000
F,over 55,3880,5.0000
F,over 55,2843,5.0000
F,over 55,875,5.0000
F,over 55,503,5.0000
F,over 55,3792,5.0000
F,over 55,315,5.0000
M,over 55,787,5.0000
M,over 55,3410,5.0000
M,over 55,3640,5.0000
M,over 55,566,5.0000
M,over 55,864,5.0000
M,over 55,1780,5.0000
M,over 55,2931,5.0000
M,over 55,559,5.0000
M,over 55,2673,5.0000
M,over 55,3415,5.0000
F,45-54,1161,5.0000
F,45-54,670,5.0000
F,45-54,90,5.0000
F,45-54,2905,5.0000
F,45-54,2661,5.0000
F,45-54,3838,5.0000
F,45-54,3808,5.0000
F,45-54,2197,5.0000
F,45-54,3670,5.0000
F,45-54,3894,5.0000
M,45-54,1002,5.0000
M,45-54,1360,5.0000
M,45-54,1068,5.0000
M,45-54,3415,5.0000
M,45-54,3172,5.0000
M,45-54,128,5.0000
M,45-54,1571,5.0000
M,45-54,3443,5.0000
M,45-54,823,5.0000
M,45-54,2658,5.0000
F,18-24,3091,5.0000
F,18-24,2776,5.0000
F,18-24,1076,5.0000
F,18-24,1516,5.0000
F,18-24,3093,5.0000
F,18-24,746,5.0000
F,18-24,2073,5.0000
F,18-24,3822,5.0000
F,18-24,1111,5.0000
F,18-24,2765,5.0000
M,18-24,1809,5.0000
M,18-24,27,5.0000
M,18-24,973,5.0000
M,18-24,3713,5.0000
M,18-24,3002,5.0000
M,18-24,106,5.0000
M,18-24,3222,5.0000
M,18-24,831,5.0000
M,18-24,1349,5.0000
M,18-24,3415,5.0000
