Gender,Fasciaeta,ID Film,Voti,Voto Medio
F,Under 18,2156,1,5.0000
F,Under 18,3032,2,5.0000
F,Under 18,3265,4,5.0000
F,Under 18,3765,1,5.0000
F,Under 18,1123,1,5.0000
F,Under 18,2924,1,5.0000
F,Under 18,214,3,5.0000
F,Under 18,3872,3,5.0000
F,Under 18,669,1,5.0000
F,Under 18,2839,2,5.0000
M,Under 18,318,335,4.6090
M,Under 18,858,354,4.5650
M,Under 18,1198,419,4.5585
M,Under 18,50,304,4.5395
M,Under 18,1221,273,4.5018
M,Under 18,260,520,4.4673
M,Under 18,1136,276,4.4565
M,Under 18,527,344,4.4360
M,Under 18,593,404,4.4109
M,Under 18,1193,265,4.4075
F,25-34,2858,260,4.2808
F,25-34,841,2,5.0000
F,25-34,2810,1,5.0000
F,25-34,1728,2,5.0000
F,25-34,2930,1,5.0000
F,25-34,863,1,5.0000
F,25-34,1572,1,5.0000
F,25-34,2101,1,5.0000
F,25-34,3544,1,5.0000
F,25-34,2332,1,5.0000
M,25-34,858,421,4.6128
M,25-34,750,310,4.5097
M,25-34,260,570,4.5035
M,25-34,318,386,4.5026
M,25-34,1198,499,4.4990
M,25-34,527,454,4.4515
M,25-34,1193,337,4.4392
M,25-34,50,315,4.4063
M,25-34,2028,566,4.3869
M,25-34,608,453,4.3819
F,34-44,2129,1,5.0000
F,34-44,241,1,5.0000
F,34-44,3417,2,5.0000
F,34-44,670,4,5.0000
F,34-44,128,1,5.0000
F,34-44,3241,1,5.0000
F,34-44,146,1,5.0000
F,34-44,326,1,5.0000
F,34-44,668,4,5.0000
F,34-44,1111,3,5.0000
M,34-44,527,445,4.5663
M,34-44,318,420,4.5619
M,34-44,858,479,4.5511
M,34-44,1198,502,4.5299
M,34-44,50,348,4.5115
M,34-44,260,637,4.5071
M,34-44,912,313,4.4824
M,34-44,750,289,4.4637
M,34-44,1252,256,4.4375
M,34-44,1193,341,4.4164
F,over 55,2858,258,4.1473
F,over 55,617,2,5.0000
F,over 55,3644,1,5.0000
F,over 55,3902,2,5.0000
F,over 55,408,1,5.0000
F,over 55,3880,2,5.0000
F,over 55,875,3,5.0000
F,over 55,2618,2,5.0000
F,over 55,2813,2,5.0000
F,over 55,1071,1,5.0000
M,over 55,858,446,4.6076
M,over 55,318,439,4.5649
M,over 55,50,354,4.5621
M,over 55,527,450,4.5267
M,over 55,1198,501,4.5250
M,over 55,260,606,4.5198
M,over 55,750,293,4.4915
M,over 55,1221,350,4.4571
M,over 55,2028,564,4.4539
M,over 55,912,301,4.4518
F,45-54,3816,1,5.0000
F,45-54,649,2,5.0000
F,45-54,3888,1,5.0000
F,45-54,1780,2,5.0000
F,45-54,2904,1,5.0000
F,45-54,3645,1,5.0000
F,45-54,84,2,5.0000
F,45-54,937,5,5.0000
F,45-54,3089,10,5.0000
F,45-54,2913,1,5.0000
M,45-54,50,342,4.5556
M,45-54,858,410,4.5537
M,45-54,1198,471,4.5393
M,45-54,318,386,4.5363
M,45-54,750,260,4.5231
M,45-54,527,409,4.5037
M,45-54,912,274,4.4964
M,45-54,2762,439,4.4829
M,45-54,260,548,4.4763
M,45-54,1136,303,4.4191
F,18-24,3539,1,5.0000
F,18-24,1880,3,5.0000
F,18-24,114,1,5.0000
F,18-24,2388,1,5.0000
F,18-24,2644,8,5.0000
F,18-24,2493,2,5.0000
F,18-24,850,1,5.0000
F,18-24,1460,5,5.0000
F,18-24,2047,2,5.0000
F,18-24,2589,2,5.0000
M,18-24,858,252,4.6190
M,18-24,1198,275,4.4945
M,18-24,260,332,4.4699
M,18-24,2762,263,4.4259
M,18-24,593,287,4.4251
M,18-24,296,258,4.3953
M,18-24,2028,306,4.3627
M,18-24,2858,384,4.3594
M,18-24,1196,322,4.3447
M,18-24,2571,288,4.2847
