Titolo,Numero Voti,Voto Medio
Ace Ventura: When Nature Calls,533,2.4540
Dead Presidents,306,2.8693
Mortal Kombat,455,2.7868
Pocahontas,542,2.9834
Screamers,255,2.8078
Black Sheep,271,2.9557
Broken Arrow,889,2.8549
Boomerang,257,2.6965
Batman Forever,1082,2.6599
Canadian Bacon,271,2.7454
Casper,364,2.9615
Congo,799,2.2190
First Knight,509,2.9430
Johnny Mnemonic,632,2.5680
Judge Dredd,776,2.2899
The Net,787,2.8412
Nine Months,304,2.7730
Showgirls,307,2.0521
Species,767,2.8201
Under Siege 2: Dark Territory,286,2.8531
Waterworld,903,2.6523
Forget Paris,350,2.9657
Junior,328,2.6280
Mary Shelley's Frankenstein,335,2.8657
Milk Money,316,2.6899
The Quick and the Dead,582,2.9828
Tank Girl,496,2.5706
Virtuosity,314,2.8694
The Flintstones,369,2.3686
Wes Craven's New Nightmare,384,2.8438
Naked Gun 33 1/3: The Final Insult,543,2.8895
Richie Rich,260,2.1462
Timecop,616,2.8604
Wolf,377,2.9337
Highlander III: The Sorcerer,286,2.0944
In the Mouth of Madness,266,2.8872
Addams Family Values,643,2.9222
Airheads,342,2.5526
Beverly Hills Cop III,493,2.4868
Cabin Boy,269,2.3866
City Slickers II: The Legend of Curly's Gold,540,2.5759
Coneheads,755,2.6093
Free Willy,406,2.5788
Hard Target,304,2.7763
Hot Shots! Part Deux,807,2.8030
Last Action Hero,683,2.5022
Robert A. Heinlein's The Puppet Masters,255,2.8392
Renaissance Man,362,2.8619
Robocop 3,294,1.9252
Robin Hood: Men in Tights,533,2.9644
The Shadow,295,2.7458
Son in Law,292,2.6404
Super Mario Bros.,515,1.9282
Threesome,252,2.9921
The Brady Bunch Movie,590,2.9322
Hellraiser: Bloodline,308,2.4448
Space Jam,795,2.6239
Operation Dumbo Drop,303,2.2772
Multiplicity,332,2.8464
Barb Wire,410,2.0000
Striptease,407,2.1302
The Cable Guy,543,2.7274
The Nutty Professor,1311,2.9832
Daylight,280,2.6750
She's the One,354,2.9661
A Very Brady Sequel,277,2.5596
The First Wives Club,404,2.9431
Chain Reaction,336,2.6339
Escape from L.A.,706,2.5127
The Relic,338,2.8343
The Island of Dr. Moreau,450,2.1933
Halloween: The Curse of Michael Myers,278,2.3129
Last Man Standing,361,2.8726
The Apple Dumpling Gang,325,2.9815
Angels in the Outfield,341,2.7654
The Lawnmower Man,847,2.6482
Aladdin and the King of Thieves,308,2.8896
Weekend at Bernie's,521,2.7774
Days of Thunder,572,2.7902
Drop Dead Fred,431,2.3202
The Amityville Horror,501,2.9022
Candyman,366,2.8880
Jingle All the Way,321,2.4517
Star Trek V: The Final Frontier,843,2.7331
Young Guns II,504,2.9405
Grease 2,410,2.0000
Jaws 2,505,2.5921
Jaws 3-D,293,1.8464
Mars Attacks!,1496,2.9138
Murder at 1600,375,2.9867
Beverly Hills Ninja,327,2.5657
Dante's Peak,439,2.8018
Vegas Vacation,305,2.5475
The Devil's Own,406,2.7931
Anaconda,560,2.2018
Volcano,256,2.5117
Speed 2: Cruise Control,520,1.8462
Batman & Robin,852,2.2195
Event Horizon,694,2.4870
Spawn,683,2.6032
Mimic,515,2.9417
I Know What You Did Last Summer,669,2.5964
Bean,289,2.6505
Alien: Resurrection,1071,2.9281
Flubber,429,2.5431
Scream 2,650,2.9938
Hard Rain,287,2.5923
Spice World,266,1.8233
Deep Rising,313,2.7348
Blues Brothers 2000,335,2.4119
Sphere,754,2.6512
Palmetto,299,2.8361
Lost in Space,953,2.5540
Mercury Rising,366,2.9836
Species II,283,2.0671
Godzilla,714,2.2885
Six Days Seven Nights,652,2.8911
Doctor Dolittle,742,2.9205
Small Soldiers,519,2.7823
Plan 9 from Outer Space,337,2.6706
A Nightmare on Elm Street Part 2: Freddy's Revenge,399,2.2857
A Nightmare on Elm Street 3: Dream Warriors,393,2.6361
A Nightmare on Elm Street 4: The Dream Master,358,2.2039
A Nightmare on Elm Street 5: The Dream Child,295,1.9661
Freddy's Dead: The Final Nightmare,323,2.1672
Friday the 13th Part 3: 3D,302,1.9834
Friday the 13th: The Final Chapter,260,2.1538
Halloween II,265,2.7623
Child's Play,319,2.7304
Gremlins 2: The New Batch,522,2.5556
The Black Hole,405,2.7852
The Cat from Outer Space,275,2.9164
D2: The Mighty Ducks,281,2.6085
Hocus Pocus,267,2.8577
I Honey,556,2.2806
I Honey,1446,2.9474
The 'burbs,416,2.9087
The Mighty Ducks,507,2.8797
Popeye,646,2.5991
Return from Witch Mountain,253,2.8538
Return to Oz,400,2.8950
Halloween: H20,285,2.7123
Needful Things,338,2.8817
Cujo,323,2.7152
Children of the Corn,312,2.4071
All Dogs Go to Heaven,313,2.8594
Snake Eyes,693,2.7316
An American Tail: Fievel Goes West,294,2.8129
The Clan of the Cave Bear,306,2.5033
The Avengers,398,1.9899
The NeverEnding Story II: The Next Chapter,261,2.3716
Attack of the Killer Tomatoes!,280,2.6286
54,370,2.7189
Toys,607,2.5354
Blame It on Rio,275,2.7091
The Butcher's Wife,259,2.8764
Indecent Proposal,293,2.7338
Urban Legend,324,2.7068
Practical Magic,336,2.9435
Soldier,420,2.8833
The Waterboy,592,2.9274
I Still Know What You Did Last Summer,414,2.1618
King Kong,431,2.7309
Desperately Seeking Susan,1135,2.9718
Fletch Lives,321,2.9408
Red Sonja,255,2.4941
Gung Ho,327,2.9419
The Money Pit,568,2.8768
Police Academy 2: Their First Assignment,311,2.4019
Police Academy 3: Back in Training,270,2.0185
Very Bad Things,299,2.6957
Psycho,371,2.6011
Jack Frost,299,2.1839
Santa Claus: The Movie,337,2.6558
Rambo: First Blood Part II,539,2.8052
Rambo III,410,2.2951
Cocoon: The Return,362,2.5110
Rocky III,556,2.8741
Rocky IV,519,2.6493
Rocky V,390,2.0692
"The Karate Kid, Part II",658,2.6930
The Karate Kid III,397,2.1159
The Faculty,734,2.7684
Mighty Joe Young,252,2.8175
Virus,274,2.2993
Howard the Duck,598,2.0886
The Fly II,408,2.3235
Jumpin' Jack Flash,496,2.7258
Crocodile Dundee II,580,2.6276
Soul Man,255,2.4000
200 Cigarettes,252,2.8532
8MM,370,2.8405
Pet Sematary,404,2.9381
Beneath the Planet of the Apes,486,2.9733
Battle for the Planet of the Apes,417,2.8489
Conquest of the Planet of the Apes,476,2.8697
Wing Commander,252,2.1786
Forces of Nature,324,2.7562
The Mod Squad,303,2.0726
The Out-of-Towners,282,2.7021
Idle Hands,318,2.7044
My Science Project,266,2.9699
Dick Tracy,898,2.6938
Superman III,715,2.3217
Superman IV: The Quest for Peace,476,1.9013
Swamp Thing,363,2.5675
Wild Wild West,1270,2.1496
Lake Placid,607,2.4745
Ghostbusters II,794,2.9232
The Haunting,679,2.3711
Inspector Gadget,528,2.1326
Deep Blue Sea,873,2.8706
Mystery Men,1215,2.9926
The Golden Child,621,2.9082
Outrageous Fortune,251,2.9323
Brokedown Palace,257,2.8171
Airplane II: The Sequel,850,2.9835
An American Werewolf in Paris,376,2.7314
European Vacation,535,2.9159
Funny Farm,341,2.9384
Mickey Blue Eyes,622,2.8633
Teaching Mrs. Tingle,303,2.5578
Universal Soldier,528,2.5038
Iron Eagle,357,2.5518
The Astronaut's Wife,470,2.4064
Stigmata,583,2.8388
Random Hearts,345,2.2725
Superstar,294,2.4218
The Blue Lagoon,460,2.3283
Home Alone 2: Lost in New York,481,2.4324
The Story of Us,386,2.7513
Robocop 2,704,2.3622
The House on Haunted Hill,491,2.3422
The Bachelor,367,2.4523
The Messenger: The Story of Joan of Arc,462,2.9848
End of Days,770,2.5883
Deuce Bigalow: Male Gigolo,386,2.7668
Bicentennial Man,523,2.9101
Supernova,254,2.0906
Loaded Weapon 1,376,2.7793
Eye of the Beholder,360,2.0500
Encino Man,418,2.5000
Sister Act 2: Back in the Habit,281,2.5445
Wayne's World 2,609,2.8818
The Bodyguard,862,2.8411
Death Becomes Her,459,2.7407
Stop! Or My Mom Will Shoot,261,1.8008
Scream 3,823,2.7424
The Beach,603,2.6750
Reindeer Games,408,2.7157
Drowning Mona,267,2.7378
The Next Best Thing,256,2.2656
What Planet Are You From?,264,2.8068
Mission to Mars,1200,2.5742
The Ninth Gate,397,2.8665
Harry and the Hendersons,420,2.7619
Blind Date,280,2.6429
Teenage Mutant Ninja Turtles,765,2.7111
Teenage Mutant Ninja Turtles II: The Secret of the Ooze,374,2.1283
Teenage Mutant Ninja Turtles III,277,1.9386
The Skulls,467,2.6895
Battlefield Earth,484,1.5992
Big Momma's House,274,2.4380
Porky's,440,2.7068
Predator 2,893,2.8555
Bird on a Wire,515,2.5553
Gone in 60 Seconds,820,2.9598
The Adventures of Rocky and Bullwinkle,306,2.4641
F/X 2,316,2.6582
Scary Movie,888,2.9989
Freejack,420,2.4071
Nutty Professor II: The Klumps,385,2.6208
Coyote Ugly,288,2.7813
Hollow Man,595,2.5227
Air America,405,2.7556
Supergirl,267,2.0262
Hellbound: Hellraiser II,277,2.8195
